taxa,species
vascularPlants,Vaccinium_uliginosum
vascularPlants,Lysimachia_europaea
vascularPlants,Empetrum_nigrum
vascularPlants,Avenella_flexuosa
insects,Psychoda_phalaenoides
insects,Boletina_trivittata
insects,Brevicornu_sericoma
insects,Cordyla_crassicornis
fungi,Tuckermanopsis_chlorophylla
fungi,Lobaria_scrobiculata
fungi,Parmeliopsis_hyperopta
fungi,Cladonia_rangiferina
lichens,Hypogymnia_physodes
lichens,Parmelia_sulcata
lichens,Parmelia_saxatilis
lichens,Platismatia_glauca
birds,Turdus_iliacus
birds,Anthus_pratensis
birds,Fringilla_montifringilla
birds,Fringilla_coelebs
