"engelsk","norsk","nynorsk","groups","groupsNynorsk"
"amphibiansReptiles","Amfibier og reptiler","Amfibiar og reptil","AmphibiansReptiles","Amfibiar og reptil"
"spiders","Edderkoppdyr","Edderkoppdyr","Insects","Insekt"
"beetles","Biller","Biller","Insects","Insekt"
"cockroaches","Kakerlakker","Kakerlakkar","Insects","Insekt"
"snakeflies","Kamelhalsfluer","Kamelhalsfluger","Insects","Insekt"
"scorpionflies","Nebbfluer","Nebbfluger","Insects","Insekt"
"bugs","Nebbmunner","Nebbmunnar","Insects","Insekt"
"netWingedInsects","Nettvinger","Nettvingar","Insects","Insekt"
"grasshopperLikeInsects","Rettvinger","Rettvingar","Insects","Insekt"
"earwigs","Saksedyr","Saksedyr","Insects","Insekt"
"butterfliesMoths","Sommerfugler","Sommarfuglar","Insects","Insekt"
"flies","Tovinger","Tovengar","Insects","Insekt"
"hymenopterans","Vepser","Vepsar","Insects","Insekt"
"aquaticInsects","Akvatisk insekter","Akvatisk insekt","Insects","Insekt"
"vascularPlants","Karplanter","Karplanter","Plants","Karplanter"
"mosses","Moser","Mosar","Mosses","Mosar"
"mammals","Pattedyr","Pattedyr","Mammals","Pattedyr"
"fungi","Sopp","Sopp","Fungi","Sopp"
"lichens","Lav","Lav","Lichens","Lav"
"groundNesters","Bakkehekkende fugler","Bakkehekkande fuglar","Birds","Fuglar"
"waders","Vaderfugler","Vadefuglar","Birds","Fuglar"
"woodpeckers","Hakkespett","Hakkespettar","Birds","Fuglar"
"birds","Fugler","Fuglar","Birds","Fuglar"
"bats","Fleggermus","Floggemus","Bats","Floggemus"
"insects","Insekter","Insekt og edderkoppdyr","Insects","Insekt og edderkoppdyr"
